role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Teacher,35,Female,Nilt nagar,Nagar,several times a week,student can use interactive games to reinforce reading skills,educational technology enhance the learning experience providing greater accesibility,technology in education can reduce face to face,Yes,No,,Yes,technology change learning skill as well ,Yes,Yes,,Yes,Yes,Yes,Yes,"multimedia, computer",hold immense promise with posibilities,very,No,No,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,technology is a best for students,,,Yes,Yes,several ways technology was changed,Yes,,Yes,Yes,enhance problem solving capacity,Yes,No,No,Yes,practical and team work,,not at all,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Aliabad,Hunza,several times a week,,,Shortage of electcity stortage of IT professional and finnancial weekness.,Yes,No,"Save time, maximum avalibity of content .",Yes,Awarenss,No,Yes,,Yes,Yes,Yes,Yes,,,very,Yes,No,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,30,Female,Rural ,Nagar,never,"Technology is not compulsory for primary section but it develops other skills 
","Technology facilitate teachers
 ","Electricity and building issues
 ",No,No,"Technology provides easiness in my learnings
",Yes,"I feel isolated because everyone is busy in technology 
",Yes,Yes,"Technology helps us to learn essential skills out of the curriculum 
",Yes,Yes,Yes,No,"Multimedia and Library 
","Curriculum should be change
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,37,Male,Aliabad,Hunza,weekly, NA,Use variety of technology tools and resources.,Limitation:balancing technology   challenges:engage community and parents.,Yes,No,Tecnology changes us because now adays we use it and get many information.,No,Technology impact on our social skill.,Yes,Yes,,Yes,Yes,Yes,No,Tablets and educatinal software.,AI and internet,very,Yes,No,Yes,Yes,Negative,Positive,Positive,Positive,Positive
Parent,44,Male,Nilt nagar,Nagar,several times a week,technology can best for the primary students provide information,,,No,No,no,No,,Yes,Yes,technology motivates students by creative things such as gaming and cartoons,No,Yes,No,Yes,"computer, interactive whiteboard, educational software",,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Student,18,Female,Nagar Khas,Nagar,several times a week,"through technology primary students learn from vedios, practicals and colorful things",it is good for primary school because it prefer more practical,,Yes,Yes,it saves time and gives us more knowledge ,Yes,we can earn money through freelancing and we can contact with different websites for the pourpose of jobs,Yes,Yes,,Yes,Yes,Yes,No,,it will become disaster for students,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Male,Nilt nagar,Nagar,weekly,can develop essential skills and critical thinking,interactive tools and multimedia content can increase student interest and participation,cyberbullying and online safety concerns,Yes,Yes,because of different and easy path,Yes,technology change learning skill as well ,Yes,Yes,"global awareness, virtual field trips, culture exchange platform, and new sources",No,Yes,Yes,Yes,language learning tools and virtual field trips,"continious proffesional development, teachers training",moderately,Yes,No,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,17,Female,Jafarabad,Nagar,weekly,technology can help students to solve their problems,it enhnace learning,,Yes,No,it provide  us everything promptly,Yes,become part of our life day by day,Yes,Yes,technology needs us to develop critical thinking,Yes,Yes,Yes,Yes,LEDs and lectures are important ,,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,30,Female,Nagar Khas,,several times a week,,,,Yes,No,,Yes,,Yes,Yes,,Yes,Yes,Yes,No,,,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,technology is a best for students,,,Yes,Yes,several ways technology was changed,Yes,,Yes,Yes,enhance problem solving capacity,Yes,No,No,Yes,practical and team work,,not at all,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nagar Khas,Nagar,several times a week,it enhance the listening skill and thinking,it enhance memorization,internet access information,Yes,No,variety of ideas and activities generates,Yes,technology is best source of getting things,Yes,Yes,"through stories, sktches, and pictures",Yes,Yes,Yes,Yes,offline vedios,technology shall replace teachers in future,extremely,Yes,Yes,No,Yes,Positive,Positive,Positive,Positive,Negative
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"yes, Technology can best support the learning objective of primary students in this era of modern technology, without technology studennts cannot face daily life challenges",students become aware about technology at early stage,Government policies and financial challengies are hurdle for primary level,Yes,No,we can learn many things at school level,Yes,I am using technology for Freelancing and other skills.,Yes,Yes,Students try and apply whatever they learn at school,Yes,Yes,Yes,Yes,Improvement and advancement of technology,applying modern techniques,slightly,Yes,Yes,No,Yes,Negative,Negative,Positive,Positive,Negative
Teacher,38,Female,Aliabad,Hunza,several times a week,Students take more interest in learning when we use technology.,"Benefits of technology in primary school,socialization, improving communication, digital literacy skills.","Technical issues distruction , reduce face to face interaction.",Yes,No,We attent online classess on mobiles.,No,We learn new words from vedioes.,No,Yes,"Interactive educational apps,online cources, educational games to engage students.",Yes,No,Yes,No,"Improve collaboration prepare childern for the future, connect us with student.","Fast networks,3D printing.",extremely,No,Yes,Yes,Yes,Negative,Negative,Positive,Positive,Positive
Teacher,35,Male,Nagar Khas,Nagar,weekly,,It increases students interest in learning,Excessive use of technology may lead far from activities,Yes,Yes,,Yes,,No,Yes,It increases students focus through graphic contents ,No,Yes,Yes,Yes,Internet facilities and use of melti media in class,every class should be equip with new  technology,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,"Technology is very benefishery for pirmary beacues it reflect""learning by doing"". Time usage and easy way of learning",I can cause eye diseaes. Students work is slow. Student do not want to do their own work.,No,No,technology has change the way of learn and engage with curriculum content. Do not think and conginative domain are stop working,Yes,Technology disconnect the social skill and relationship.like mobile consumes more more time and the person do not like to eat and talk to second person.,No,Yes,Teach and aware all the skill first and than provide the resources all the above skills.,No,No,No,Yes,"individual laptops, internet service and LED for classroom",Totally lecture or classroom activities will finish and will teach online system and use online resources,moderately,Yes,Yes,No,Yes,Positive,Negative,Negative,Negative,Positive
Teacher,45,Female,Nagar Khas,Nagar,monthly,technology helps students and and give new ideas about learning,easy to learn,,Yes,Yes,because of different and easy path,Yes,echnology change learning skills as well,Yes,Yes,because of technology,Yes,Yes,Yes,Yes,internet,technology is very important in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,16,Female,Ghulmet nagar,Nagar,weekly,technology is best source of students work,easy to learn,become mental illness,Yes,Yes,several ways technology was changed,Yes,gap between family and work,Yes,Yes,can use technology to solve problems,Yes,Yes,Yes,Yes,"excel, multimedia and reality tools",should use in primary education,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,35,Female,Karimabad,Hunza,weekly,They can enhane there four skills,"Tying improve, listening issues and they build speaking power.",Inn our area there is internet issues and weak signal.,Yes,No,We engage students through technology with different activities,Yes,Our relstionship is some time weak and and sometime we build strong relation because of internet,Yes,Yes,when they learn  education chips and vodies.,Yes,Yes,Yes,No,We need internet access in our class computer and LED.,"AC, electricity , LED and proper heating system.",extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Negative
Teacher,31,Female,Nagar Khas,Nagar,weekly,yes student learn more things then without tschnology,it provides indepth knowledge and quick access to every problem solutions,financials issues by gagets and its maintainace,Yes,Yes,now I'm not much depend on teacher because of teachnology,Yes,we can know contact with teachers and teacher can manage all things out of class,Yes,Yes,technology should install in school and give training to both students and teachers,Yes,Yes,Yes,Yes,"computer Lab, projector and sound system ",with the passage of time technology will increase and developed,very,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
